epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36.8742,1.15207,0.61332,0.97575,0.9545,0.95522,0.97905,0.62089,1.2963,0.7826,0.98809,0.0011882,0.0011882,0.0011882
43,37.6916,1.0917,0.60066,0.96891,0.96697,0.97015,0.9861,0.61596,1.35448,0.72183,0.98747,0.0011684,0.0011684,0.0011684
44,38.5185,1.11185,0.5718,0.97298,0.96762,0.97015,0.97333,0.68418,1.35216,0.69573,0.97883,0.0011486,0.0011486,0.0011486
45,39.3507,1.11446,0.57473,0.97766,0.96662,0.97015,0.97996,0.65536,1.30666,0.74857,0.974,0.0011288,0.0011288,0.0011288
46,40.183,1.06331,0.56419,0.94862,0.96717,0.97015,0.98289,0.58966,1.45505,0.80162,0.98625,0.001109,0.001109,0.001109
47,41.016,1.05138,0.56776,0.97429,0.98196,0.98507,0.98792,0.61062,1.47911,0.7592,0.97493,0.0010892,0.0010892,0.0010892
48,41.8856,1.1079,0.55418,0.96441,0.96742,0.97015,0.96731,0.62132,1.58927,0.77951,0.96964,0.0010694,0.0010694,0.0010694
49,42.7301,1.10256,0.57016,0.96077,0.98305,0.98507,0.98455,0.69497,1.22419,0.7577,0.9655,0.0010496,0.0010496,0.0010496
50,43.5787,1.04895,0.55167,0.96246,0.96737,0.97015,0.9785,0.68069,1.25105,0.68412,0.96987,0.0010298,0.0010298,0.0010298
51,44.4899,1.10234,0.56121,0.95774,0.97274,0.98507,0.9916,0.65192,1.45286,0.6675,0.97751,0.00101,0.00101,0.00101
52,45.3206,1.03136,0.57098,0.96277,0.98205,0.98507,0.98216,0.67467,1.40066,0.72602,0.9856,0.0009902,0.0009902,0.0009902
53,46.1438,1.08498,0.55334,0.97242,0.98222,0.98507,0.98172,0.65902,1.44347,0.7342,0.98476,0.0009704,0.0009704,0.0009704
54,46.9761,1.02154,0.53114,0.96228,0.98302,0.98507,0.9908,0.6323,1.41744,0.69849,0.9729,0.0009506,0.0009506,0.0009506
55,47.8102,1.05681,0.54445,0.94756,0.95297,0.95522,0.95751,0.66005,1.45347,0.68441,0.96022,0.0009308,0.0009308,0.0009308
56,48.6413,1.0261,0.53252,0.9616,0.92362,0.92537,0.95955,0.60477,1.42507,0.74577,0.95944,0.000911,0.000911,0.000911
57,49.4928,1.0283,0.54344,0.96834,0.9677,0.97015,0.97571,0.62875,1.4044,0.70237,0.98478,0.0008912,0.0008912,0.0008912
58,50.3502,1.05314,0.54226,0.93846,0.98352,0.98507,0.98127,0.66057,1.42834,0.66081,0.97582,0.0008714,0.0008714,0.0008714
59,51.1856,1.02329,0.54698,0.96914,0.98526,0.99766,0.99132,0.65867,1.23614,0.63793,0.95822,0.0008516,0.0008516,0.0008516
60,52.0147,1.08938,0.56538,0.97106,0.98272,0.98507,0.98781,0.69988,1.31388,0.63113,0.93859,0.0008318,0.0008318,0.0008318
61,52.9418,0.9712,0.52088,0.92157,0.98525,0.99724,0.9925,0.65991,1.34929,0.67678,0.9474,0.000812,0.000812,0.000812
62,53.7723,1.00962,0.51507,0.94824,0.98253,0.98507,0.98732,0.6835,1.2516,0.68674,0.94958,0.0007922,0.0007922,0.0007922
63,54.5895,1.01828,0.51548,0.93329,0.98326,0.98507,0.98665,0.60313,1.68393,0.8176,0.98945,0.0007724,0.0007724,0.0007724
64,55.4202,0.99036,0.50242,0.96089,0.96749,0.97015,0.97669,0.70609,1.29659,0.63579,0.93447,0.0007526,0.0007526,0.0007526
65,56.2599,1.01879,0.50878,0.93878,0.98341,0.98507,0.98651,0.69225,1.25366,0.67128,0.93873,0.0007328,0.0007328,0.0007328
66,57.0804,0.98467,0.50946,0.95074,0.99752,1,0.995,0.69571,1.22863,0.62579,0.93904,0.000713,0.000713,0.000713
67,57.8938,0.98976,0.52038,0.97053,0.99718,1,0.995,0.66894,1.36409,0.67405,0.94041,0.0006932,0.0006932,0.0006932
68,58.7136,1.00427,0.5105,0.963,0.98186,0.98507,0.98619,0.66958,1.53385,0.69317,0.96105,0.0006734,0.0006734,0.0006734
69,59.5406,0.99853,0.50301,0.96296,0.98293,0.98507,0.98682,0.69514,1.26947,0.67816,0.93645,0.0006536,0.0006536,0.0006536
70,60.3586,0.99517,0.52636,0.93325,0.98266,0.98507,0.9841,0.6662,1.44682,0.70877,0.93832,0.0006338,0.0006338,0.0006338
71,61.2584,0.99334,0.54005,0.93067,0.9976,1,0.995,0.68761,1.3129,0.63082,0.92821,0.000614,0.000614,0.000614
72,62.077,0.96243,0.49513,0.91997,0.98227,0.98507,0.98306,0.75651,1.09049,0.60341,0.92518,0.0005942,0.0005942,0.0005942
73,62.9138,0.90589,0.46598,0.89994,0.98323,0.98507,0.98765,0.68341,1.41241,0.67881,0.92568,0.0005744,0.0005744,0.0005744
74,63.7496,0.98146,0.49988,0.93903,0.98303,0.98507,0.98261,0.72836,1.10524,0.57239,0.92115,0.0005546,0.0005546,0.0005546
75,64.6072,1.01184,0.51723,0.94768,0.98271,0.98507,0.9844,0.71384,1.1832,0.5997,0.92711,0.0005348,0.0005348,0.0005348
76,65.4425,0.89417,0.47194,0.91713,0.99732,1,0.995,0.73209,1.22156,0.63508,0.92558,0.000515,0.000515,0.000515
77,66.3372,0.95809,0.4932,0.94456,0.98286,0.98507,0.9887,0.68386,1.40828,0.69359,0.93416,0.0004952,0.0004952,0.0004952
78,67.23,0.97705,0.50636,0.95907,0.99709,1,0.995,0.7289,1.21875,0.64541,0.92705,0.0004754,0.0004754,0.0004754
79,68.067,0.93044,0.48846,0.92007,0.99739,1,0.995,0.7074,1.35823,0.6728,0.93515,0.0004556,0.0004556,0.0004556
80,68.9123,0.97585,0.48751,0.89898,0.98178,0.98507,0.98785,0.71622,1.29824,0.66919,0.93651,0.0004358,0.0004358,0.0004358
81,69.8269,0.93306,0.4802,0.93531,0.98279,0.98507,0.98919,0.73584,1.16508,0.62506,0.91584,0.000416,0.000416,0.000416
82,70.6619,0.86033,0.4612,0.913,0.98291,0.98507,0.99135,0.70694,1.28216,0.64781,0.91718,0.0003962,0.0003962,0.0003962
83,71.4817,0.90234,0.47297,0.91819,0.9675,0.97015,0.97728,0.73279,1.1389,0.5958,0.9077,0.0003764,0.0003764,0.0003764
84,72.3112,0.87324,0.45812,0.92913,0.98235,0.98507,0.98351,0.68494,1.4045,0.6876,0.93491,0.0003566,0.0003566,0.0003566
85,73.1525,0.88667,0.45403,0.91516,0.9674,0.97015,0.9761,0.71723,1.23918,0.6181,0.92718,0.0003368,0.0003368,0.0003368
86,73.9883,0.89699,0.46507,0.93572,0.9683,0.97015,0.97098,0.71878,1.18346,0.58419,0.91876,0.000317,0.000317,0.000317
87,74.816,0.93002,0.4755,0.93558,0.98248,0.98507,0.98594,0.69785,1.33611,0.60163,0.92647,0.0002972,0.0002972,0.0002972
88,75.6341,0.85174,0.44629,0.89417,0.98297,0.98507,0.98082,0.70494,1.23364,0.5981,0.92238,0.0002774,0.0002774,0.0002774
89,76.4637,0.88261,0.45321,0.91229,0.99773,1,0.995,0.70535,1.2365,0.6127,0.93047,0.0002576,0.0002576,0.0002576
90,77.2917,0.87444,0.46734,0.90526,0.98322,0.98507,0.98396,0.71598,1.22534,0.60537,0.93031,0.0002378,0.0002378,0.0002378
91,78.7787,0.80487,0.42467,0.88074,0.98344,0.98507,0.98366,0.72517,1.20921,0.59108,0.91883,0.000218,0.000218,0.000218
92,79.6182,0.82624,0.42825,0.9044,0.96842,0.97015,0.97845,0.7093,1.36054,0.63385,0.92147,0.0001982,0.0001982,0.0001982
93,80.4443,0.7883,0.42119,0.85287,0.96775,0.97015,0.97791,0.74017,1.25745,0.59297,0.91277,0.0001784,0.0001784,0.0001784
94,81.2622,0.76932,0.41361,0.87476,0.9826,0.98507,0.98819,0.72898,1.32989,0.62148,0.91974,0.0001586,0.0001586,0.0001586
95,82.0999,0.77545,0.42033,0.85161,0.98244,0.98507,0.98858,0.72374,1.2786,0.60947,0.91243,0.0001388,0.0001388,0.0001388
96,82.9409,0.77585,0.42237,0.87122,0.983,0.98507,0.98882,0.7346,1.22656,0.62615,0.90677,0.000119,0.000119,0.000119
97,83.7731,0.75871,0.40526,0.86477,0.96834,0.97015,0.97659,0.73953,1.17569,0.6227,0.89895,9.92e-05,9.92e-05,9.92e-05
98,84.6058,0.76291,0.39944,0.87854,0.98338,0.98507,0.98835,0.74242,1.18296,0.62724,0.89977,7.94e-05,7.94e-05,7.94e-05
99,85.4335,0.73149,0.39558,0.83691,0.98341,0.98507,0.98785,0.7425,1.18053,0.63944,0.90197,5.96e-05,5.96e-05,5.96e-05
100,86.2568,0.72339,0.38733,0.85151,0.98337,0.98507,0.98779,0.74252,1.18629,0.63248,0.90256,3.98e-05,3.98e-05,3.98e-05
