epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1271.07,1.1104,0.60068,0.99338,0.98326,0.98507,0.98924,0.60636,1.36844,0.71901,0.98946,0.0011684,0.0011684,0.0011684
44,1297.83,1.06386,0.56584,1.01703,0.96738,0.97015,0.97437,0.65964,1.42857,0.75117,0.98811,0.0011486,0.0011486,0.0011486
45,1324.96,1.0424,0.55483,1.00537,0.97033,0.98507,0.98538,0.6007,1.5691,0.88579,1.01319,0.0011288,0.0011288,0.0011288
46,1351.59,1.12179,0.58538,1.00839,0.99326,1,0.995,0.64493,1.3983,0.78896,0.97787,0.001109,0.001109,0.001109
47,1378.08,1.05873,0.5819,0.99087,0.99814,1,0.995,0.6526,1.34865,0.69106,0.96149,0.0010892,0.0010892,0.0010892
48,1405.02,1.00808,0.52956,0.99622,0.98329,0.98507,0.99205,0.68138,1.23419,0.72463,0.95088,0.0010694,0.0010694,0.0010694
49,1432.02,0.98642,0.53977,0.97597,0.99198,1,0.995,0.69042,1.21211,0.70783,0.94475,0.0010496,0.0010496,0.0010496
50,1458.95,0.99704,0.52701,0.97043,0.99486,1,0.995,0.68463,1.39098,0.72429,0.96002,0.0010298,0.0010298,0.0010298
51,1485.84,0.98711,0.52412,0.95973,0.96522,0.97015,0.97729,0.67386,1.36459,0.77015,0.96619,0.00101,0.00101,0.00101
52,1512.22,1.02232,0.53656,0.98457,0.98183,0.98507,0.98789,0.69728,1.23421,0.6948,0.95489,0.0009902,0.0009902,0.0009902
53,1538.81,1.00811,0.54597,1.01748,0.99655,1,0.995,0.72225,1.24073,0.68123,0.96196,0.0009704,0.0009704,0.0009704
54,1565.68,1.0212,0.5619,1.01403,0.95493,0.95522,0.97225,0.68436,1.23365,0.6676,0.94474,0.0009506,0.0009506,0.0009506
55,1592.58,0.97323,0.53792,0.98756,0.99792,1,0.995,0.68375,1.18502,0.66463,0.95446,0.0009308,0.0009308,0.0009308
56,1619.4,0.98341,0.52178,0.9791,0.89682,0.89552,0.92288,0.63198,1.39982,0.68025,0.96339,0.000911,0.000911,0.000911
57,1646.7,1.01492,0.5314,0.99119,0.95313,0.95522,0.97332,0.6702,1.40478,0.69614,0.97093,0.0008912,0.0008912,0.0008912
58,1673.58,0.9603,0.50091,0.96488,0.92345,0.92537,0.94912,0.61363,1.45065,0.75164,0.9808,0.0008714,0.0008714,0.0008714
59,1700.49,0.91001,0.47978,0.9448,0.95281,0.95522,0.96393,0.6941,1.26113,0.67052,0.94309,0.0008516,0.0008516,0.0008516
60,1727.38,1.01778,0.52347,0.99771,0.96784,0.97015,0.96829,0.67306,1.26188,0.68982,0.93821,0.0008318,0.0008318,0.0008318
61,1754.55,0.95129,0.50376,0.98627,0.98214,0.98507,0.99024,0.68691,1.15747,0.69377,0.93204,0.000812,0.000812,0.000812
62,1781.4,0.94067,0.49509,0.97115,0.98195,0.98507,0.99088,0.69477,1.19773,0.6707,0.93954,0.0007922,0.0007922,0.0007922
63,1808.34,0.93506,0.48747,0.95469,0.98326,0.98507,0.98366,0.68969,1.23788,0.63405,0.9328,0.0007724,0.0007724,0.0007724
64,1835.21,0.88538,0.4731,0.96405,0.98238,0.98507,0.99068,0.73585,1.244,0.63799,0.92931,0.0007526,0.0007526,0.0007526
65,1862.03,0.92806,0.47898,0.94133,0.9833,0.98507,0.98558,0.69747,1.17396,0.61685,0.92139,0.0007328,0.0007328,0.0007328
66,1888.68,0.93027,0.50583,0.9592,0.98306,0.98507,0.98289,0.67978,1.22361,0.69548,0.93371,0.000713,0.000713,0.000713
67,1915.17,0.9033,0.47687,0.95671,0.99787,1,0.995,0.70315,1.2411,0.70129,0.92798,0.0006932,0.0006932,0.0006932
68,1942.1,0.86901,0.4667,0.93873,0.99867,1,0.995,0.67592,1.34052,0.67026,0.94945,0.0006734,0.0006734,0.0006734
69,1968.99,0.95565,0.48616,0.97174,0.99783,1,0.995,0.69911,1.16895,0.61532,0.92457,0.0006536,0.0006536,0.0006536
70,1995.78,0.94777,0.49264,0.9469,0.98251,0.98507,0.98171,0.6875,1.2931,0.63457,0.92026,0.0006338,0.0006338,0.0006338
71,2022.52,0.94732,0.48541,0.96109,0.99659,1,0.995,0.72711,1.17438,0.60726,0.90851,0.000614,0.000614,0.000614
72,2049.49,0.97014,0.5004,0.9318,0.99791,1,0.995,0.73531,1.16148,0.6493,0.91589,0.0005942,0.0005942,0.0005942
73,2076.42,0.86872,0.45851,0.94366,0.98369,0.98507,0.98795,0.70998,1.11087,0.60564,0.90919,0.0005744,0.0005744,0.0005744
74,2103.29,0.85061,0.44414,0.92557,0.99786,1,0.995,0.73033,1.06182,0.58231,0.91333,0.0005546,0.0005546,0.0005546
75,2130.24,0.86421,0.45715,0.94652,0.99718,1,0.995,0.72318,1.14797,0.62453,0.90854,0.0005348,0.0005348,0.0005348
76,2157.13,0.76584,0.4208,0.90903,0.9967,1,0.995,0.7215,1.25935,0.62851,0.93055,0.000515,0.000515,0.000515
77,2183.89,0.92026,0.47727,0.92911,0.98304,0.98507,0.98417,0.69718,1.38036,0.65023,0.94297,0.0004952,0.0004952,0.0004952
